first,second,result
अस्,ऐ,अ ऐ
अस्,ओ,अ ओ
अस्,औ,अ औ
अस्,क्,अः क्
अस्,ख्,अः ख्
अस्,ग्,ओ ग्
अस्,घ्,ओ घ्
अस्,ङ्,ओ ङ्
अस्,च्,अश् च्
अस्,छ्,अश् छ्
अस्,ज्,ओ ज्
अस्,झ्,ओ झ्
अस्,ञ्,ओ ञ्
अस्,ट्,अष् ट्
अस्,ठ्,अष् ठ्
अस्,ड्,ओ ड्
अस्,ढ्,ओ ढ्
अस्,ण्,ओ ण्
अस्,त्,अस् त्
अस्,थ्,अस् थ्
अस्,द्,ओ द्
अस्,ध्,ओ ध्
अस्,न्,ओ न्
अस्,प्,अः प्
अस्,फ्,अः फ्
अस्,ब्,ओ ब्
अस्,भ्,ओ भ्
अस्,म्,ओ म्
अस्,य्,ओ य्
अस्,र्,ओ र्
अस्,ल्,ओ ल्
अस्,व्,ओ व्
अस्,श्,अः श्
अस्,ष्,अः ष्
अस्,स्,अः स्
अस्,ह्,ओ ह्
आस्,अ,आ अ
आस्,आ,आ आ
आस्,इ,आ इ
आस्,ई,आ ई
आस्,उ,आ उ
आस्,ऊ,आ ऊ
आस्,ऋ,आ ऋ
आस्,ॠ,आ ॠ
आस्,ऌ,आ ऌ
आस्,ॡ,आ ॡ
आस्,ए,आ ए
आस्,ऐ,आ ऐ
आस्,ओ,आ ओ
आस्,औ,आ औ
आस्,क्,आः क्
आस्,ख्,आः ख्
आस्,ग्,आ ग्
आस्,घ्,आ घ्
आस्,ङ्,आ ङ्
आस्,च्,आश् च्
आस्,छ्,आश् छ्
आस्,ज्,आ ज्
आस्,झ्,आ झ्
आस्,ञ्,आ ञ्
आस्,ट्,आष् ट्
आस्,ठ्,आष् ठ्
आस्,ड्,आ ड्
आस्,ढ्,आ ढ्
आस्,ण्,आ ण्
आस्,त्,आस् त्
आस्,थ्,आस् थ्
आस्,द्,आ द्
आस्,ध्,आ ध्
आस्,न्,आ न्
आस्,प्,आः प्
आस्,फ्,आः फ्
आस्,ब्,आ ब्
आस्,भ्,आ भ्
आस्,म्,आ म्
आस्,य्,आ य्
आस्,र्,आ र्
आस्,ल्,आ ल्
आस्,व्,आ व्
आस्,श्,आः श्
आस्,ष्,आः ष्
आस्,स्,आः स्
आस्,ह्,आ ह्
अर्,अ,अर् अ
अर्,आ,अर् आ
अर्,इ,अर् इ
अर्,ई,अर् ई
अर्,उ,अर् उ
अर्,ऊ,अर् ऊ
अर्,ऋ,अर् ऋ
अर्,ॠ,अर् ॠ
अर्,ऌ,अर् ऌ
अर्,ॡ,अर् ॡ
अर्,ए,अर् ए
अर्,ऐ,अर् ऐ
अर्,ओ,अर् ओ
अर्,औ,अर् औ
अर्,क्,अः क्
अर्,ख्,अः ख्
अर्,ग्,अर् ग्
अर्,घ्,अर् घ्
अर्,ङ्,अर् ङ्
अर्,च्,अश् च्
अर्,छ्,अश् छ्
अर्,ज्,अर् ज्
अर्,झ्,अर् झ्
अर्,ञ्,अर् ञ्
अर्,ट्,अष् ट्
अर्,ठ्,अष् ठ्
अर्,ड्,अर् ड्
अर्,ढ्,अर् ढ्
अर्,ण्,अर् ण्
अर्,त्,अस् त्
अर्,थ्,अस् थ्
अर्,द्,अर् द्
अर्,ध्,अर् ध्
अर्,न्,अर् न्
अर्,प्,अः प्
अर्,फ्,अः फ्
अर्,ब्,अर् ब्
अर्,भ्,अर् भ्
अर्,म्,अर् म्
अर्,य्,अर् य्
अर्,र्,आ र्
अर्,ल्,अर् ल्
अर्,व्,अर् व्
अर्,श्,अः श्
अर्,ष्,अः ष्
अर्,स्,अः स्
अर्,ह्,अर् ह्
आर्,अ,आर् अ
आर्,आ,आर् आ
आर्,इ,आर् इ
आर्,ई,आर् ई
आर्,उ,आर् उ
आर्,ऊ,आर् ऊ
आर्,ऋ,आर् ऋ
आर्,ॠ,आर् ॠ
आर्,ऌ,आर् ऌ
आर्,ॡ,आर् ॡ
आर्,ए,आर् ए
आर्,ऐ,आर् ऐ
आर्,ओ,आर् ओ
आर्,औ,आर् औ
आर्,क्,आः क्
आर्,ख्,आः ख्
आर्,ग्,आर् ग्
आर्,घ्,आर् घ्
आर्,ङ्,आर् ङ्
आर्,च्,आश् च्
आर्,छ्,आश् छ्
आर्,ज्,आर् ज्
आर्,झ्,आर् झ्
आर्,ञ्,आर् ञ्
आर्,ट्,आष् ट्
आर्,ठ्,आष् ठ्
आर्,ड्,आर् ड्
आर्,ढ्,आर् ढ्
